SMILES,Outcome
CC(=NC#N)N(C)CC1=CC=C(Cl)N=C1,1
CN=C(NCC1=CN=C(Cl)S1)N[N+](=O)[O-],1
CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+](=O)[O-],1
N#CC1=NN(C2=C(Cl)C=C(C(F)(F)F)C=C2Cl)C(N)=C1[S+]([O-])C(F)(F)F,1
CCOC1=CC=C(C(C)(C)COCC2=CC=CC(OC3=CC=CC=C3)=C2)C=C1,1
CNC(=O)OC1=CC=CC2=CC=CC=C12,1
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,1
CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=CC4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1,1
CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=C(C)C4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1,1
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,1
CC1=C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)C=CC=C1C1=CC=CC=C1,1
CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=C(F)C=C1,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1,1
CC(C)C(C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1)C1=CC=C(Cl)C=C1,1
CC(C)(COCC1=CC(OC2=CC=CC=C2)=CC=C1)C1=CC=C(OC(F)(F)Br)C=C1,1
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,1
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,1
COP(=O)(OC)OC(C)=CC(=O)N(C)C,1
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,1
CC1(C)C(C=C(Cl)C2=CC=C(Cl)C=C2)C1C(=O)OC(C#N)C1=CC=C(F)C(OC2=CC=CC=C2)=C1,1
CC(C)(C)C1=CC=C(CSC2=C(Cl)C(=O)N(C(C)(C)C)N=C2)C=C1,1
CCOP(=S)(OCC)OC1=C(Cl)C=C(Cl)C(Cl)=N1,1
COC(=O)C=C(C)OP(=O)(OC)OC,1
CCOP(=S)(OCC)OC1=NN(C2=CC=CC=C2)C(=O)C=C1,1
CCOP(=S)(OCC)OC1=NOC(C2=CC=CC=C2)=C1,1
CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,1
CCOC(=O)C(C)OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3O2)C=C1,1
CC1(C)C(C(=O)OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)C1C(Br)C(Br)(Br)Br,1
CNC(=O)CSP(=S)(OC)OC,1
