"SMILES","ID","clogP"
"[H]N(C(=O)C([H])([H])C([H])([H])[H])C1=NC2=C([H])C([H])=C([H])C([H])=C2N1C([H])([H])C([H])([H])[NH+]1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]",5248791,1.95
"[H]\C(=C(\[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C(=O)C1(OC(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]",5325516,3.87
"[H]N(C(=O)C([H])([H])C1([H])N([H])C2=C(N([H])C1=O)C([H])=C([H])C([H])=C2[H])C1=C([H])C(OC(=O)C([H])([H])[H])=C([H])C([H])=C1[H]",5366533,1.03
"[H][NH+](C([H])([H])C1=C(OC([H])([H])[H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H]",5411442,4.06
"[H]N(C(=O)C1=C(Cl)C2=C([H])C([H])=C([H])C([H])=C2S1)C1=C(Br)C([H])=C(C([H])=C1[H])[N+]([O-])=O",5535678,3.99
"[H]N(C(=O)C1=C([H])C(=C([H])C(=C1[H])[N+]([O-])=O)C(=O)OC([H])([H])[H])C1=C(C([H])=C([H])C([H])=C1C([H])([H])C([H])([H])[H])C([H])([H])[H]",5737554,2.69
"[H]C1=C([H])C(=C([H])C([H])=C1OC([H])([H])[H])C([H])(C([H])([H])[N+]([O-])=O)C([H])(C(=O)OC([H])([H])C([H])([H])[H])C(=O)OC([H])([H])C([H])([H])[H]",5816330,1.81
"[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C1=NC([H])=C([H])S1",5915074,2.2
"[H]N(C(=O)C1=C(OC([H])=C1[H])C([H])([H])[H])C1=C(C([H])=C([H])C([H])=C1[H])C([O-])=O",5929040,2.59
"[H]N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C(OC([H])([H])[H])=C(C([H])=C1Cl)C(=O)OC([H])([H])[H]",5941109,2.16
